response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.1720,0.0027,0.0000,0.0009,1.1666,0.0004,200,0.1153
1.2741,0.0025,0.0000,0.0011,1.2685,0.0001,200,0.1148
1.2740,0.0028,0.0000,0.0009,1.2685,0.0001,200,0.1150
1.2740,0.0026,0.0000,0.0004,1.2693,0.0001,200,0.1150
1.2794,0.0027,0.0000,0.0009,1.2686,0.0059,200,0.1154
1.2826,0.0025,0.0000,0.0011,1.2743,0.0031,200,0.1152
1.3089,0.0028,0.0000,0.0009,1.2783,0.0256,200,0.1154
1.3095,0.0028,0.0000,0.0009,1.2744,0.0296,200,0.1149
1.3175,0.0028,0.0000,0.0008,1.3044,0.0081,200,0.1153
1.3180,0.0029,0.0000,0.0008,1.3043,0.0082,200,0.1149
0.3571,0.0000,0.0000,0.0000,0.3562,0.0009,200,1.3889
0.4731,0.0000,0.0000,0.0002,0.4698,0.0030,200,1.2873
0.5886,0.0000,0.0000,0.0001,0.5880,0.0005,200,1.4244
0.6694,0.0000,0.0000,0.0000,0.6692,0.0001,200,1.4329
0.6697,0.0000,0.0000,0.0004,0.6690,0.0003,200,1.4328
0.7187,0.0000,0.0000,0.0000,0.7178,0.0009,200,1.3890
0.7198,0.0000,0.0000,0.0000,0.7130,0.0068,200,1.3890
0.6869,0.0000,0.0000,0.0001,0.6851,0.0017,200,1.4243
0.7165,0.0000,0.0000,0.0000,0.7146,0.0018,200,1.3948
0.7134,0.0000,0.0000,0.0000,0.7098,0.0036,200,1.3979
0.4495,0.0000,0.0000,0.0000,0.4493,0.0001,200,1.7604
0.4639,0.0000,0.0000,0.0000,0.4638,0.0001,200,1.7460
16.0711,0.0004,0.0000,0.0000,16.0684,0.0022,500,22.1115
16.0745,0.0005,0.0000,0.0001,16.0717,0.0022,500,22.1081
16.0779,0.0008,0.0000,0.0000,16.0770,0.0001,500,22.1090
15.9768,0.0004,0.0000,0.0000,15.9762,0.0001,500,22.2102
16.0894,0.0003,0.0000,0.0000,16.0750,0.0140,500,22.1115
16.1851,0.0005,0.0000,0.0001,16.1658,0.0185,500,22.0159
16.0974,0.0006,0.0000,0.0000,16.0967,0.0000,500,22.1036
16.1928,0.0006,0.0000,0.0001,16.1917,0.0004,500,22.1036
16.2831,0.0003,0.0000,0.0000,16.2825,0.0003,500,22.1116
16.1845,0.0004,0.0000,0.0000,16.1840,0.0001,500,22.2102
