pod,cpu_cores_avg,mem_bytes_avg,net_rx_Bps_avg,net_tx_Bps_avg
checkoutservice-dcf4c5c7b-sshns,0.004000413223517463,16095232.0,221.2642223313696,153.52739352442
frontend-759775d795-htrmp,0.02493587293596574,18057671.111111112,153.3759906405836,124.22172043525183
productcatalogservice-c4cfd98fb-m866t,0.004979878184047733,14868480.0,215.75090115117112,150.60587114670437
redis-cart-6899b65948-msbkt,0.005319707835196193,5619712.0,107.88225645145855,68.85410349305302
shippingservice-5dcc4d7bd-4rh6z,0.00655916028589831,15819434.666666666,325.95777151202697,226.12753589659076
