timestamp,series
1779929979,0.5106249456323482
1779929984,0.45216722618599287
1779929989,0.45500398483256477
1779929994,0.45500398483256477
1779929999,0.45500398483256477
1779930004,0.45500398483256477
1779930009,0.45500398483256477
1779930014,0.45500398483256477
1779930019,0.45500398483256477
1779930024,0.45500398483256477
1779930029,0.45274332758167907
1779930034,0.43948164696052444
1779930039,0.4309684523119166
1779930044,0.43814238016667556
1779930049,0.43967405793441894
1779930054,0.43967405793441894
1779930059,0.43967405793441894
1779930064,0.43967405793441894
1779930069,0.43967405793441894
1779930074,0.43967405793441894
1779930079,0.43967405793441894
1779930084,0.43967405793441894
1779930089,0.4389289742329605
1779930094,0.43948429107116416
1779930099,0.4272547733479298
1779930104,0.4320686968946471
1779930109,0.4328870491441508
1779930114,0.4328870491441508
1779930119,0.4328870491441508
1779930124,0.4328870491441508
1779930129,0.4328870491441508
1779930134,0.4328870491441508
1779930139,0.4328870491441508
1779930144,0.4328870491441508
1779930149,0.4328870491441508
1779930154,0.4142292092885456
1779930159,0.4139498216648732
1779930164,0.42413744343655074
1779930169,0.4251072675791201
1779930174,0.4251072675791201
1779930179,0.4251072675791201
1779930184,0.4251072675791201
1779930189,0.4251072675791201
1779930194,0.4251072675791201
1779930199,0.4251072675791201
1779930204,0.4251072675791201
1779930209,0.42505419511698467
1779930214,0.4142574396623297
1779930219,0.4082284244512318
1779930224,0.41525009685418696
1779930229,0.4079486715333692
1779930234,0.4079486715333692
1779930239,0.4079486715333692
1779930244,0.4079486715333692
1779930249,0.4079486715333692
1779930254,0.4079486715333692
1779930259,0.4079486715333692
1779930264,0.4079486715333692
1779930269,0.4079486715333692
1779930274,0.4031954734717526
1779930279,0.3692000193740976
1779930284,0.3594448528924548
1779930289,0.35955081557690116
1779930294,0.35955081557690116
1779930299,0.35955081557690116
1779930304,0.35955081557690116
1779930309,0.35955081557690116
1779930314,0.35955081557690116
1779930319,0.35955081557690116
1779930324,0.35955081557690116
1779930329,0.3593030264561813
1779930334,0.35524664765631414
1779930339,0.3373673371367106
1779930344,0.3484640673166985
1779930349,0.36506872284780884
1779930354,0.36506872284780884
1779930359,0.36506872284780884
1779930364,0.36506872284780884
1779930369,0.36506872284780884
1779930374,0.36506872284780884
1779930379,0.36506872284780884
1779930384,0.36506872284780884
1779930389,0.36506872284780884
1779930394,0.36489217924911427
