timestamp,adservice-64dd5464b8-njz96,cartservice-c96c85b55-9v2kt,checkoutservice-dcf4c5c7b-cqpzd,currencyservice-8fdf6cf9d-8zlx2,emailservice-7fd5f66d9d-pn94r,frontend-759775d795-97pzx,paymentservice-66c65775b-8tp7v,productcatalogservice-c4cfd98fb-52hf5,recommendationservice-b5b5bfc56-sl4nf,redis-cart-6899b65948-t4dgl,shippingservice-5dcc4d7bd-gsbz6
1779929979,423084032,288006144,36388864,430927872,123236352,46682112,162832384,43085824,113516544,28119040,35086336
1779929984,423084032,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779929989,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779929994,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779929999,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779930004,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779930009,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779930014,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779930019,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779930024,426209280,293728256,36392960,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779930029,426209280,293728256,36388864,430927872,123236352,46690304,162951168,43257856,113520640,28119040,35086336
1779930034,426209280,293728256,36388864,287129600,123236352,46690304,162951168,43257856,113512448,28119040,35090432
1779930039,430804992,295415808,36384768,287129600,123236352,47108096,162951168,43147264,113512448,28119040,35086336
1779930044,430804992,295415808,36384768,287129600,123244544,47042560,162951168,43147264,113512448,28119040,35086336
1779930049,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930054,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930059,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930064,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930069,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930074,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930079,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930084,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930089,430804992,295415808,36384768,287129600,123244544,47042560,162947072,43036672,113512448,27856896,35086336
1779930094,430804992,295415808,36384768,289824768,123240448,47042560,162947072,43036672,113512448,27856896,35086336
1779930099,430837760,295043072,36384768,216002560,123236352,46755840,162914304,43036672,113512448,28119040,35086336
1779930104,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113512448,28119040,35086336
1779930109,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930114,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930119,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930124,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930129,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930134,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930139,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930144,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930149,430837760,294633472,36388864,270565376,123236352,46997504,162877440,43036672,113524736,28119040,35086336
1779930154,431976448,294633472,36388864,287412224,123236352,46977024,162877440,43036672,113524736,28119040,35086336
1779930159,433115136,294633472,36388864,287412224,123236352,46977024,163041280,43036672,113512448,28119040,35086336
1779930164,433115136,294932480,36388864,287412224,123236352,46977024,163237888,43036672,113512448,27856896,35086336
1779930169,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930174,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930179,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930184,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930189,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930194,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930199,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930204,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930209,433115136,295309312,36388864,214810624,123236352,47476736,163237888,43036672,113512448,27856896,35086336
1779930214,433115136,295309312,36388864,214810624,123236352,47476736,163155968,43036672,113512448,27856896,35086336
