response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.1855,0.0042,0.0000,0.0024,1.1777,0.0009,200,0.1059
1.1854,0.0040,0.0000,0.0025,1.1775,0.0014,200,0.1063
1.1972,0.0042,0.0000,0.0029,1.1773,0.0118,200,0.1051
1.1972,0.0042,0.0000,0.0028,1.1890,0.0002,200,0.1051
1.1973,0.0039,0.0000,0.0025,1.1896,0.0001,200,0.1052
1.1980,0.0042,0.0000,0.0025,1.1901,0.0002,200,0.1051
1.2815,0.0042,0.0000,0.0024,1.2734,0.0005,200,0.1051
1.2822,0.0041,0.0000,0.0025,1.2746,0.0001,200,0.1051
1.2872,0.0042,0.0000,0.0025,1.1847,0.0949,200,0.1052
1.2902,0.0042,0.0000,0.0024,1.1903,0.0923,200,0.1051
0.3894,0.0000,0.0000,0.0000,0.3893,0.0001,200,1.3923
0.4787,0.0000,0.0000,0.0000,0.4787,0.0001,200,1.3030
0.4910,0.0000,0.0000,0.0001,0.4890,0.0018,200,1.3024
0.4944,0.0000,0.0000,0.0000,0.4943,0.0001,200,1.3024
0.4947,0.0000,0.0000,0.0000,0.4943,0.0004,200,1.3023
0.4136,0.0000,0.0000,0.0001,0.4134,0.0001,200,1.3866
0.4050,0.0000,0.0000,0.0000,0.4049,0.0001,200,1.3953
0.5091,0.0000,0.0000,0.0000,0.5085,0.0005,200,1.2918
0.5095,0.0000,0.0000,0.0000,0.5088,0.0007,200,1.2913
0.5046,0.0000,0.0000,0.0000,0.4135,0.0912,200,1.3874
19.2094,0.0004,0.0000,0.0000,19.2042,0.0048,500,21.8012
19.2171,0.0004,0.0000,0.0000,19.2086,0.0079,500,21.7938
19.1195,0.0003,0.0000,0.0000,19.1157,0.0033,500,21.8934
19.2879,0.0008,0.0000,0.0000,19.2838,0.0030,500,21.7988
19.2882,0.0009,0.0000,0.0000,19.2869,0.0000,500,21.7984
19.2853,0.0002,0.0000,0.0000,19.2144,0.0707,500,21.8014
19.2854,0.0001,0.0000,0.0000,19.2115,0.0737,500,21.8014
19.3019,0.0004,0.0000,0.0001,19.3012,0.0000,500,21.7849
19.2854,0.0002,0.0000,0.0000,19.2851,0.0001,500,21.8014
19.3019,0.0004,0.0000,0.0000,19.3012,0.0001,500,21.7849
