run,rps,requests,mean_s,p95_s,p99_s,error_fraction,cpu_total_mean_cores,mem_total_mean_bytes
q10_c10_10m,88.37104825291182,53111,0.014622925570973997,0.0166,0.05489000000000014,0.9992468603490803,0.2716655893380202,1581601546.5785124
q20_c10_10m,155.99667221297838,93754,0.01894081532521279,0.052,0.12924100000000033,0.9993173624592018,0.44237433595536796,1393726760.198347
q30_c10_10m,216.50664451827242,130337,0.020441805473503303,0.0803,0.1005,0.9995319824761963,0.41765949531326035,1559791599.0743802
q40_c10_10m,240.6285240464345,145099,0.025583114287486476,0.0908,0.1033,0.999572705532085,0.45090770533866914,1607043596.6942148
q5_c10_10m,35.369384359400996,21257,0.04845467845886061,0.0231,0.2137239999999907,0.9951545373288799,0.27973557507739377,1675050500.231405
