response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.8517,0.0038,0.0000,0.0007,0.8465,0.0003,200,0.1062
0.8526,0.0038,0.0000,0.0007,0.8473,0.0004,200,0.1062
0.8526,0.0038,0.0000,0.0007,0.8466,0.0011,200,0.1061
0.8527,0.0039,0.0000,0.0006,0.8476,0.0001,200,0.1061
0.8730,0.0040,0.0000,0.0006,0.8679,0.0002,200,0.1061
0.1661,0.0000,0.0000,0.0000,0.1628,0.0032,200,0.9579
0.1726,0.0000,0.0000,0.0000,0.1719,0.0007,200,0.9587
0.1747,0.0000,0.0000,0.0000,0.1746,0.0000,200,0.9588
0.2076,0.0000,0.0000,0.0000,0.1704,0.0371,200,0.9588
0.1975,0.0000,0.0000,0.0000,0.1974,0.0001,200,0.9791
0.2072,0.0000,0.0000,0.0000,0.2067,0.0004,200,1.1240
0.2024,0.0000,0.0000,0.0000,0.2023,0.0001,200,1.1664
0.2356,0.0000,0.0000,0.0000,0.2341,0.0014,200,1.1334
0.1925,0.0000,0.0000,0.0000,0.1915,0.0009,200,1.1766
0.2392,0.0000,0.0000,0.0000,0.2388,0.0003,200,1.1313
0.1363,0.0000,0.0000,0.0000,0.1362,0.0001,200,1.3312
0.1609,0.0000,0.0000,0.0000,0.1597,0.0013,200,1.3690
0.1741,0.0000,0.0000,0.0000,0.1740,0.0001,200,1.3705
0.2006,0.0000,0.0000,0.0000,0.2005,0.0001,200,1.3688
0.2067,0.0000,0.0000,0.0000,0.2003,0.0063,200,1.3691
0.1784,0.0000,0.0000,0.0000,0.1783,0.0001,200,1.4675
0.1545,0.0000,0.0000,0.0000,0.1544,0.0001,200,1.5300
19.5437,0.0003,0.0000,0.0000,19.5424,0.0010,500,21.6462
19.6135,0.0003,0.0000,0.0000,19.6128,0.0003,500,21.5765
19.7111,0.0004,0.0000,0.0001,19.7103,0.0001,500,21.5697
19.5951,0.0004,0.0000,0.0000,19.5944,0.0002,500,21.6857
19.7188,0.0004,0.0000,0.0001,19.7173,0.0006,500,21.5627
