response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1709,0.0000,0.0000,0.0001,0.1703,0.0001,200,143.5042
0.0535,0.0000,0.0000,0.0001,0.0532,0.0001,200,144.0040
0.0363,0.0000,0.0000,0.0000,0.0355,0.0004,200,144.5040
0.0495,0.0000,0.0000,0.0000,0.0489,0.0005,200,145.0032
0.0422,0.0000,0.0000,0.0000,0.0417,0.0004,200,145.5040
0.0499,0.0000,0.0000,0.0000,0.0491,0.0008,200,146.0031
0.0800,0.0000,0.0000,0.0007,0.0754,0.0009,200,146.5045
0.0576,0.0000,0.0000,0.0001,0.0572,0.0001,200,147.0034
14.2880,0.0005,0.0000,0.0001,14.2868,0.0005,500,167.5069
0.0046,0.0000,0.0000,0.0001,0.0043,0.0001,500,181.7950
0.0030,0.0000,0.0000,0.0000,0.0027,0.0002,500,182.0036
0.0141,0.0000,0.0000,0.0001,0.0139,0.0001,500,182.5040
0.0054,0.0000,0.0000,0.0000,0.0049,0.0004,500,183.0040
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,500,183.5034
0.0087,0.0000,0.0000,0.0002,0.0077,0.0001,500,184.0042
0.0080,0.0000,0.0000,0.0001,0.0068,0.0009,500,184.5040
0.0055,0.0000,0.0000,0.0001,0.0052,0.0001,500,185.0037
0.0076,0.0000,0.0000,0.0001,0.0072,0.0002,500,185.5037
0.0086,0.0000,0.0000,0.0000,0.0084,0.0001,500,186.0037
0.0043,0.0000,0.0000,0.0000,0.0040,0.0001,500,186.5040
0.0048,0.0000,0.0000,0.0000,0.0046,0.0001,500,187.0040
0.0091,0.0000,0.0000,0.0001,0.0082,0.0007,500,187.5035
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,500,188.0040
0.0049,0.0000,0.0000,0.0000,0.0047,0.0001,500,188.5040
0.0051,0.0000,0.0000,0.0000,0.0047,0.0001,500,189.0040
0.0065,0.0000,0.0000,0.0001,0.0061,0.0001,500,189.5034
0.0084,0.0000,0.0000,0.0001,0.0079,0.0001,500,190.0041
0.0037,0.0000,0.0000,0.0000,0.0036,0.0001,500,190.5040
0.0060,0.0000,0.0000,0.0001,0.0055,0.0004,500,191.0040
0.0061,0.0000,0.0000,0.0000,0.0059,0.0001,500,191.5040
0.0064,0.0000,0.0000,0.0001,0.0061,0.0001,500,192.0041
0.0049,0.0000,0.0000,0.0000,0.0047,0.0001,500,192.5034
0.0056,0.0000,0.0000,0.0000,0.0054,0.0001,500,193.0038
0.0038,0.0000,0.0000,0.0000,0.0037,0.0001,500,193.5033
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,500,194.0040
0.0077,0.0000,0.0000,0.0000,0.0073,0.0002,500,194.5035
0.0079,0.0000,0.0000,0.0000,0.0074,0.0003,500,195.0033
0.0055,0.0000,0.0000,0.0000,0.0053,0.0001,500,195.5034
0.0058,0.0000,0.0000,0.0000,0.0055,0.0001,500,196.0041
0.0065,0.0000,0.0000,0.0001,0.0060,0.0001,500,196.5041
0.0053,0.0000,0.0000,0.0001,0.0051,0.0001,500,197.0032
0.0060,0.0000,0.0000,0.0001,0.0057,0.0002,500,197.5039
0.0042,0.0000,0.0000,0.0001,0.0036,0.0004,500,198.0041
0.0051,0.0000,0.0000,0.0000,0.0049,0.0001,500,198.5040
0.0949,0.0000,0.0000,0.0001,0.0101,0.0846,500,199.0032
0.0068,0.0000,0.0000,0.0001,0.0065,0.0001,500,199.5040
0.0069,0.0000,0.0000,0.0001,0.0066,0.0001,500,200.0040
0.0290,0.0000,0.0000,0.0001,0.0288,0.0001,500,200.5034
0.0036,0.0000,0.0000,0.0001,0.0034,0.0001,500,201.0040
0.0062,0.0000,0.0000,0.0000,0.0059,0.0001,500,201.5033
0.0059,0.0000,0.0000,0.0001,0.0056,0.0001,500,202.0036
0.0036,0.0000,0.0000,0.0001,0.0033,0.0001,500,202.5041
0.0051,0.0000,0.0000,0.0001,0.0045,0.0001,500,203.0041
0.0053,0.0000,0.0000,0.0001,0.0048,0.0004,500,203.5039
0.0114,0.0000,0.0000,0.0001,0.0109,0.0002,500,204.0042
0.0101,0.0000,0.0000,0.0001,0.0096,0.0002,500,204.5033
0.0065,0.0000,0.0000,0.0000,0.0058,0.0002,500,205.0040
0.0052,0.0000,0.0000,0.0001,0.0048,0.0001,500,205.5041
0.0071,0.0000,0.0000,0.0001,0.0068,0.0002,500,206.0040
0.0043,0.0000,0.0000,0.0000,0.0040,0.0001,500,206.5033
0.0078,0.0000,0.0000,0.0001,0.0075,0.0001,500,207.0034
0.0060,0.0000,0.0000,0.0000,0.0057,0.0001,500,207.5030
0.0052,0.0000,0.0000,0.0000,0.0050,0.0001,500,208.0035
0.0073,0.0000,0.0000,0.0001,0.0070,0.0001,500,208.5032
0.0053,0.0000,0.0000,0.0001,0.0050,0.0001,500,209.0033
0.0040,0.0000,0.0000,0.0000,0.0036,0.0001,500,209.5040
0.0060,0.0000,0.0000,0.0000,0.0052,0.0001,500,210.0033
0.0070,0.0000,0.0000,0.0001,0.0057,0.0012,500,210.5032
0.0045,0.0000,0.0000,0.0000,0.0043,0.0001,500,211.0040
0.0050,0.0000,0.0000,0.0001,0.0046,0.0001,500,211.5031
0.0078,0.0000,0.0000,0.0000,0.0076,0.0001,500,212.0040
0.0050,0.0000,0.0000,0.0000,0.0047,0.0002,500,212.5033
0.0059,0.0000,0.0000,0.0001,0.0054,0.0001,500,213.0033
0.0069,0.0000,0.0000,0.0001,0.0065,0.0002,500,213.5041
0.0095,0.0000,0.0000,0.0001,0.0091,0.0001,500,214.0033
0.0053,0.0000,0.0000,0.0001,0.0051,0.0001,500,214.5033
0.0910,0.0000,0.0000,0.0002,0.0890,0.0001,500,215.0040
0.0172,0.0000,0.0000,0.0001,0.0154,0.0016,500,215.5040
0.0073,0.0000,0.0000,0.0001,0.0069,0.0002,500,216.0041
0.0093,0.0000,0.0000,0.0001,0.0089,0.0001,500,216.5041
0.0063,0.0000,0.0000,0.0000,0.0060,0.0001,500,217.0035
0.0041,0.0000,0.0000,0.0001,0.0037,0.0001,500,217.5033
0.0024,0.0000,0.0000,0.0001,0.0022,0.0001,500,218.0033
0.0088,0.0000,0.0000,0.0001,0.0081,0.0001,500,218.5043
