timestamp,adservice-64dd5464b8-njz96,cartservice-c96c85b55-9v2kt,checkoutservice-dcf4c5c7b-cqpzd,currencyservice-8fdf6cf9d-8zlx2,emailservice-7fd5f66d9d-pn94r,frontend-759775d795-97pzx,paymentservice-66c65775b-8tp7v,productcatalogservice-c4cfd98fb-52hf5,recommendationservice-b5b5bfc56-sl4nf,redis-cart-6899b65948-t4dgl,shippingservice-5dcc4d7bd-gsbz6
1779957155,523644928,317157376,37588992,170979328,123244544,53456896,182816768,47222784,113577984,27856896,37130240
1779957160,523644928,317157376,37588992,170926080,123244544,53456896,182677504,47222784,113586176,27856896,37130240
1779957165,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957170,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957175,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957180,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957185,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957190,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957195,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957200,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957205,523644928,317190144,37588992,170901504,123248640,53456896,182677504,47222784,113598464,27856896,37134336
1779957210,523644928,317190144,37588992,170901504,123244544,53460992,182677504,47484928,113598464,27856896,37134336
1779957215,523771904,317165568,37588992,170901504,123244544,53460992,182587392,47484928,113590272,28381184,37134336
1779957220,523771904,317165568,37588992,170901504,123244544,53460992,182587392,47484928,113590272,28381184,37130240
1779957225,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957230,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957235,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957240,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957245,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957250,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957255,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957260,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957265,523898880,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37130240
1779957270,523780096,317136896,37588992,170901504,123248640,53465088,182587392,47484928,113586176,28381184,37134336
1779957275,523780096,317112320,37588992,170901504,123248640,53465088,182956032,47484928,113586176,28119040,37134336
1779957280,523780096,317112320,37588992,171151360,123244544,53465088,182956032,47222784,113594368,28119040,37134336
1779957285,523661312,317083648,37593088,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957290,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957295,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957300,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957305,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957310,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957315,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957320,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957325,523661312,317083648,37601280,171151360,123244544,53465088,183099392,47222784,113590272,28119040,37142528
1779957330,523661312,317083648,37601280,171335680,123244544,53465088,183099392,47222784,113590272,28119040,37134336
1779957335,523661312,317083648,37601280,171335680,123244544,53465088,183099392,47222784,113590272,28119040,37134336
