timestamp,adservice-64dd5464b8-njz96,cartservice-c96c85b55-9v2kt,checkoutservice-dcf4c5c7b-cqpzd,currencyservice-8fdf6cf9d-8zlx2,emailservice-7fd5f66d9d-pn94r,frontend-759775d795-97pzx,paymentservice-66c65775b-8tp7v,productcatalogservice-c4cfd98fb-52hf5,recommendationservice-b5b5bfc56-sl4nf,redis-cart-6899b65948-t4dgl,shippingservice-5dcc4d7bd-gsbz6
1779957756,527384576,317988864,37597184,292401152,123244544,55881728,182726656,47230976,113848320,27856896,37199872
1779957761,527384576,317997056,37597184,206766080,123244544,55996416,182726656,47230976,113577984,27856896,37199872
1779957766,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957771,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957776,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957781,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957786,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957791,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957796,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957801,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957806,528986112,317997056,37597184,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957811,528986112,318013440,37601280,206766080,123244544,55996416,182652928,47230976,113582080,27856896,37199872
1779957816,526753792,318013440,37601280,206766080,123248640,55947264,182652928,47230976,113582080,27856896,37199872
1779957821,526753792,318066688,37601280,206766080,123248640,55947264,182800384,47230976,113582080,28119040,37203968
1779957826,524529664,318066688,37605376,206766080,123248640,56188928,182763520,47230976,113577984,28119040,37203968
1779957831,524529664,318066688,37605376,206766080,123248640,56188928,182763520,47230976,113577984,28119040,37203968
1779957836,524529664,318066688,37605376,206766080,123248640,56188928,182763520,47230976,113577984,28119040,37203968
1779957841,524529664,318066688,37605376,206766080,123248640,56188928,182763520,47230976,113577984,28119040,37203968
1779957846,524529664,318066688,37605376,206766080,123248640,56188928,182763520,47230976,113577984,28119040,37203968
1779957851,524529664,318066688,37605376,206766080,123248640,56188928,182763520,47230976,113577984,28119040,37203968
